FID,WD24CD,WD24NM,WD24NMW,BNG_E,BNG_N,LONG,LAT,Shape__Area,Shape__Length,GlobalID
1470,E05009894,St Margaret's,,533692,388437,0.008212,53.3759,688370.8842,3627.257278,323576dc-93af-4548-81ce-d19e96b00659
1471,E05009895,St Mary's,,532669,386237,-0.00807,53.35639,3832105.617,9107.620567,e02691d1-10ea-4a14-9640-a8931a963ffc
1472,E05009896,St Michael's,,534288,386598,0.016385,53.35923,1736787.022,6740.37871,0012e070-e50c-4e2e-98a4-b71a62a64420
1473,E05009897,Scarbrough & Seacroft,,555621,362534,0.324921,53.13726,7084653.901,11557.84303,71f959cb-d7a5-4463-8df1-a8e61b103552
1474,E05009898,Sibsey & Stickney,,530990,353030,-0.04689,53.0585,104626328.5,56086.38851,dffb4ff1-c5ea-4f42-9788-aa4722226abb
1475,E05009899,Spilsby,,540202,365898,0.096075,53.17175,5003804.613,12326.66499,56309a4a-90ee-48aa-9298-e3fb20b5c213
1476,E05009900,Sutton on Sea,,551291,380870,0.268937,53.3032,7239488.293,13259.18268,9a2e9a6e-d035-4010-b280-340b5910b174
1477,E05009901,Tetford & Donington,,526591,376527,-0.10321,53.27065,102081929.8,62855.35007,bff855fe-61bf-4c5f-b8b8-828644bb7ea4
1478,E05009902,Tetney,,533979,402396,0.018454,53.50122,35490980.56,61947.3001,156f1a0d-e66f-49fa-a466-d26c6f2a3f9c
1479,E05009903,Trinity,,534136,387753,0.014592,53.36964,510230.9982,4703.154136,6ec995a5-7ff2-42e3-b7ff-3866aa9a6d2c
1480,E05009904,Wainfleet,,550997,357325,0.25341,53.0918,42146118.47,74358.22107,73d1753e-653b-4e3a-924c-73fe0335f107
1481,E05009905,Willoughby with Sloothby,,547087,370401,0.201068,53.21035,93763834.94,75516.81174,0bb61d8d-fde5-47b5-bf50-ba31761900be
1482,E05009906,Winthorpe,,556041,366462,0.333107,53.17242,5245170.739,14400.59605,4240620e-7cbd-4774-9d96-ce7d8d83a1ba
1483,E05009907,Withern & Theddlethorpe,,542470,384338,0.138223,53.33679,90038478.69,56449.17576,84d4f393-b039-436a-9906-2e9355c3d44d
1484,E05009908,Woodhall Spa,,520044,362524,-0.20659,53.14636,20727768.26,29239.40766,8ac69a0c-812a-4c9e-b43a-446d7fd56b9f
1485,E05009909,Wragby,,515963,378420,-0.2618,53.29009,45405126.03,37212.87281,cbf7b17a-c0f0-4f77-80fd-1fdf27ad33d9
1486,E05009910,Ashdon,,557917,241535,0.301553,52.04972,39261671.8,36038.42951,bab8c01f-5102-4dbd-b97f-4e3868f0052a
1487,E05009911,Broad Oak & the Hallingburys,,554699,218250,0.244194,51.84143,52552967.23,43471.40077,295a66e3-af07-496d-8bf2-bc712663ef7e
1488,E05009912,Clavering,,547430,233802,0.14541,51.98312,35096501.9,37522.34586,0c72a66d-7270-4695-8e8c-74d351391e5a
1489,E05009913,Debden & Wimbish,,557097,234017,0.286157,51.98241,36349810.07,36193.20798,d603a5d4-2141-486b-9299-c701249a6913
1490,E05009914,Elsenham & Henham,,554501,226686,0.245095,51.91727,20225637.81,21898.2673,ead553cb-bfb0-42cc-b03f-fb1b6ee9c019
1491,E05009915,Felsted & Stebbing,,568890,221049,0.451359,51.86247,41757985.77,39168.47861,5a9a2ba3-f71f-443a-a1a9-1c200774ea5e
1492,E05009916,Flitch Green & Little Dunmow,,565655,221850,0.404807,51.87063,6994244.432,12809.57008,b249cde4-fe5c-4fa4-a70e-f93cb5260c3d
1493,E05009918,Great Dunmow South & Barnston,,563409,219938,0.37131,51.85412,19514958.83,27695.51944,91d60077-29f7-4191-a96a-7eff8657bbd4
1494,E05009919,Hatfield Heath,,554458,214362,0.238966,51.80657,20617604.32,28286.93972,dbef4652-e8f8-42e4-9b09-5687d9f9e5de
